URL,Performance Score,First Contentful Paint,Largest Contentful Paint,Speed Index,Time to Interactive,First Input Delay,Cumulative Layout Shift
https://www.bbc.com/,60,0.6 s,3.1 s,2.1 s,5.5 s,40 ms,0.002
https://www.tesla.com/,71,0.9 s,3.3 s,1.6 s,2.2 s,20 ms,0.003
https://edition.cnn.com/,12,2.0 s,3.8 s,4.9 s,8.5 s,120 ms,0.628
https://www.accuweather.com/,82,0.6 s,1.5 s,1.9 s,3.9 s,30 ms,0.053
https://www.javascript.com/,83,0.5 s,2.2 s,1.4 s,0.9 s,20 ms,0.429
https://developer.mozilla.org/hu/,100,0.3 s,0.6 s,0.5 s,0.3 s,10 ms,0
https://www.w3schools.com/,99,0.6 s,0.8 s,0.8 s,1.4 s,10 ms,0
https://web.dev/,99,0.6 s,0.8 s,0.6 s,0.6 s,10 ms,0
https://www.nasa.gov/,27,4.7 s,5.9 s,4.7 s,5.1 s,30 ms,0.042
https://hu.pinterest.com/,80,0.5 s,2.1 s,1.7 s,2.5 s,20 ms,0
https://www.masterfisch.eu/en/,69,0.6 s,1.7 s,1.3 s,2.0 s,250 ms,0.076
https://www.super-hobby.hu/,99,0.8 s,0.8 s,0.8 s,0.8 s,10 ms,0.002
https://www.shopify.com/,98,0.6 s,1.0 s,0.7 s,1.5 s,10 ms,0.001
https://wordpress.com/,95,0.6 s,1.3 s,1.1 s,1.8 s,10 ms,0.001
http://www.dusekshipkits.com/,69,1.2 s,3.4 s,1.9 s,1.2 s,10 ms,0.348
